2019/04/01 23:11:18 nsqlookupd v0.2.16
2019/04/01 23:11:18 HTTP: listening on [::]:4161
2019/04/01 23:11:18 TCP: listening on [::]:4160
2019/04/01 23:11:18 TCP: new client(192.168.1.189:45630)
2019/04/01 23:11:18 CLIENT(192.168.1.189:45630): desired protocol 538990129
2019/04/02 00:05:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000028114s)
2019/04/02 00:05:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000014062s)
2019/04/02 00:05:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000045695s)
2019/04/02 00:06:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999872323s)
2019/04/02 00:06:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000326262s)
2019/04/02 00:06:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999717698s)
2019/04/02 00:06:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.00005236s)
2019/04/02 00:07:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000027963s)
2019/04/02 00:07:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999956512s)
2019/04/02 00:07:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999988091s)
2019/04/02 00:07:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000040944s)
2019/04/02 00:08:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999982691s)
2019/04/02 00:08:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.00005926s)
2019/04/02 00:08:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999888877s)
2019/04/02 00:08:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000218688s)
2019/04/02 00:09:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999741906s)
2019/04/02 00:09:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000121953s)
2019/04/02 00:09:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000058205s)
2019/04/02 00:09:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999934182s)
2019/04/02 00:10:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999895413s)
2019/04/02 00:10:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000028089s)
2019/04/02 00:10:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999926916s)
2019/04/02 00:10:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000125917s)
2019/04/02 00:11:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000109243s)
2019/04/02 00:11:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999842823s)
2019/04/02 00:11:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000025723s)
2019/04/02 00:11:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999962103s)
2019/04/02 00:12:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000006636s)
2019/04/02 00:12:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999915123s)
2019/04/02 00:12:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000249433s)
2019/04/02 00:12:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999974757s)
2019/04/02 00:13:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.0000171s)
2019/04/02 00:13:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999845878s)
2019/04/02 00:13:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.00024657s)
