2021/07/07 19:39:16 nsqlookupd v0.2.16
2021/07/07 19:39:16 HTTP: listening on [::]:4161
2021/07/07 20:28:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000004652s)
2021/07/07 20:28:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999993512s)
2021/07/07 20:29:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000000841s)
2021/07/07 20:29:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999945263s)
2021/07/07 20:29:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000054383s)
2021/07/07 20:29:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.000003297s)
2021/07/07 20:30:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000002248s)
2021/07/07 20:30:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000021731s)
2021/07/07 20:30:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.00001281s)
2021/07/07 20:30:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999972752s)
2021/07/07 20:31:03 CLIENT(127.0.0.1:43564): pinged (last ping 14.999986717s)
2021/07/07 20:31:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000006604s)
2021/07/07 20:31:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999996837s)
2021/07/07 20:31:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.000026211s)
2021/07/07 20:32:03 CLIENT(127.0.0.1:43564): pinged (last ping 14.999979396s)
2021/07/07 20:32:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.99998018s)
2021/07/07 20:32:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000031356s)
2021/07/07 20:32:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.00000114s)
2021/07/07 20:33:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000004358s)
2021/07/07 20:33:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000003948s)
2021/07/07 20:33:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000033213s)
2021/07/07 20:33:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.000041369s)
2021/07/07 20:34:03 CLIENT(127.0.0.1:43564): pinged (last ping 14.999899425s)
2021/07/07 20:34:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000011971s)
2021/07/07 20:34:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999974304s)
2021/07/07 20:34:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.000058864s)
2021/07/07 20:35:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000014945s)
2021/07/07 20:35:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999930247s)
2021/07/07 20:35:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000039099s)
2021/07/07 20:35:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.99996945s)
2021/07/07 20:36:03 CLIENT(127.0.0.1:43564): pinged (last ping 14.999972023s)
